timestamp,cpu_percent,memory_usage_mb,memory_percent,response_time_ms,status
2025-05-10 13:42:47,0.17,8.656,13.53,9,healthy
2025-05-10 13:42:53,0.00,8.648,13.51,9,healthy
2025-05-10 13:42:58,0.00,8.648,13.51,9,healthy
2025-05-10 13:43:04,0.17,8.66,13.53,9,healthy
2025-05-10 13:43:09,0.00,8.648,13.51,10,healthy
2025-05-10 13:43:15,0.16,11.16,17.44,12,healthy
2025-05-10 13:43:21,0.00,11.16,17.44,9,healthy
2025-05-10 13:43:27,0.00,11.16,17.44,9,healthy
2025-05-10 13:43:33,0.17,11.18,17.47,9,healthy
2025-05-10 13:43:39,0.00,11.17,17.45,9,healthy
2025-05-10 13:43:45,0.14,11.19,17.48,9,healthy
2025-05-10 13:43:52,0.00,11.17,17.45,10,healthy
2025-05-10 13:43:58,0.00,11.17,17.45,9,healthy
2025-05-10 13:44:04,0.17,11.18,17.47,9,healthy
2025-05-10 13:44:10,0.00,11.17,17.45,9,healthy
2025-05-10 13:44:16,0.15,11.19,17.48,9,healthy
2025-05-10 13:44:22,0.00,11.17,17.45,10,healthy
2025-05-10 13:44:28,0.00,11.17,17.45,9,healthy
2025-05-10 13:44:34,0.18,11.18,17.47,9,healthy
2025-05-10 13:44:40,0.00,11.17,17.45,9,healthy
2025-05-10 13:44:46,0.15,11.18,17.47,9,healthy
2025-05-10 13:44:52,0.00,11.16,17.44,9,healthy
2025-05-10 13:44:58,0.00,11.16,17.44,9,healthy
2025-05-10 13:45:04,0.17,11.17,17.45,9,healthy
2025-05-10 13:45:10,0.00,11.16,17.44,10,healthy
2025-05-10 13:45:16,0.14,11.18,17.47,9,healthy
2025-05-10 13:45:22,0.00,11.16,17.44,9,healthy
2025-05-10 13:45:28,0.00,11.16,17.44,9,healthy
2025-05-10 13:45:34,0.19,11.17,17.45,10,healthy
2025-05-10 13:45:40,0.00,11.16,17.44,9,healthy
2025-05-10 13:45:46,0.12,11.17,17.45,9,healthy
2025-05-10 13:45:52,0.00,11.16,17.44,9,healthy
2025-05-10 13:45:58,0.00,11.16,17.44,9,healthy
2025-05-10 13:46:04,0.17,11.17,17.45,10,healthy
2025-05-10 13:46:10,0.00,11.16,17.44,9,healthy
2025-05-10 13:46:16,0.13,11.17,17.45,9,healthy
2025-05-10 13:46:21,0.00,11.16,17.44,9,healthy
2025-05-10 13:46:27,0.00,11.16,17.44,9,healthy
2025-05-10 13:46:33,0.17,11.18,17.47,10,healthy
2025-05-10 13:46:39,0.00,11.16,17.44,10,healthy
2025-05-10 13:46:45,0.07,11.17,17.45,9,healthy
2025-05-10 13:46:51,0.00,11.16,17.44,9,healthy
2025-05-10 13:46:57,0.00,11.16,17.44,9,healthy
2025-05-10 13:47:04,0.19,11.17,17.45,13,healthy
2025-05-10 13:47:10,6.40,11.29,17.64,11,healthy
2025-05-10 13:47:16,5.51,11.32,17.69,12,healthy
2025-05-10 13:47:22,6.46,11.29,17.64,13,healthy
2025-05-10 13:47:28,7.56,11.55,18.05,13,healthy
2025-05-10 13:47:34,0.19,11.18,17.47,9,healthy
2025-05-10 13:47:40,0.00,11.16,17.44,9,healthy
2025-05-10 13:47:46,0.00,11.18,17.47,9,healthy
2025-05-10 13:47:52,0.03,11.16,17.44,9,healthy
2025-05-10 13:47:58,0.00,11.16,17.44,9,healthy
2025-05-10 13:48:04,0.19,11.18,17.47,9,healthy
2025-05-10 13:48:10,4.22,11.38,17.78,16,healthy
2025-05-10 13:48:16,7.75,11.39,17.80,18,healthy
2025-05-10 13:48:22,7.24,11.39,17.80,11,healthy
2025-05-10 13:48:28,9.13,11.4,17.81,21,healthy
2025-05-10 13:48:34,6.90,11.39,17.80,18,healthy
2025-05-10 13:48:40,0.20,11.16,17.44,9,healthy
2025-05-10 13:48:46,0.00,11.16,17.44,9,healthy
2025-05-10 13:48:52,0.03,11.17,17.45,9,healthy
2025-05-10 13:48:58,0.00,11.16,17.44,9,healthy
2025-05-10 13:49:04,0.17,11.18,17.47,9,healthy
2025-05-10 13:49:10,0.00,11.16,17.44,9,healthy
